id	jp_id_ref	category	source_file	offset	record_index	raw_hex	jp_text	zh_text	control_tokens	status	length_risk	context_required	translator_note	qa_note	source_byte_len	chunk_row_index	prev_jp_text	next_jp_text
zh_txt_ca0cdd4a_00001A_0000	txt_ca0cdd4a_00001A_0000	message	msg/eiga/048.m	0x1A	0	81 75 82 cb 82 a5 82 cb 82 a5 81 40 83 71 83 69 83 5e 82 bf 82 e1 82 f1 82 cd 01 00 82 a6 82 a2 82 aa 82 c9 81 40 82 c5 82 e9 82 c8 82 e7 81 40 82 c7 82 f1 82 c8 81 40 83 71 83 8d 83 43 83 93 82 c9 81 40 82 c8 82 e8 82 bd 82 a2 81 48 81 76 03 00	「ねぇねぇ　ヒナタちゃんは{CTRL_0001}えいがに　でるなら　どんな　ヒロインに　なりたい？」	「喂喂，雏田{CTRL_0001}要演电影的话，想当什么女主角？」              	CTRL_0001	translated_aligned	ok	yes			82	0	「・・・・・・」	「えっ　え！？　わ・・・　わたし・・・？」
zh_txt_ca0cdd4a_000080_0001	txt_ca0cdd4a_000080_0001	message	msg/eiga/048.m	0x80	1	81 75 82 a6 82 c1 81 40 82 a6 81 49 81 48 81 40 82 ed 81 45 81 45 81 45 81 40 82 ed 82 bd 82 b5 81 45 81 45 81 45 81 48 81 76 03 00	「えっ　え！？　わ・・・　わたし・・・？」	「咦、咦！？我……？」           		translated_aligned	ok	yes			44	1	「ねぇねぇ　ヒナタちゃんは{CTRL_0001}えいがに　でるなら　どんな　ヒロインに　なりたい？」	「わたしは・・・　ナ・・・」
zh_txt_ca0cdd4a_0000AE_0002	txt_ca0cdd4a_0000AE_0002	message	msg/eiga/048.m	0xAE	2	81 75 82 ed 82 bd 82 b5 82 cd 81 45 81 45 81 45 81 40 83 69 81 45 81 45 81 45 81 76 03 00	「わたしは・・・　ナ・・・」	「我……鸣……」      		translated_aligned	ok	yes			30	2	「えっ　え！？　わ・・・　わたし・・・？」	「ナ？」
zh_txt_ca0cdd4a_0000E0_0003	txt_ca0cdd4a_0000E0_0003	message	msg/eiga/048.m	0xE0	3	81 75 83 69 81 48 81 76 03 00	「ナ？」	鸣？    		translated_aligned	ok	yes			10	3	「わたしは・・・　ナ・・・」	（ナルトくんと　いっしょに　でれたらな・・・{CTRL_0001}なんて・・・）
zh_txt_ca0cdd4a_0000FE_0004	txt_ca0cdd4a_0000FE_0004	message	msg/eiga/048.m	0xFE	4	81 69 83 69 83 8b 83 67 82 ad 82 f1 82 c6 81 40 82 a2 82 c1 82 b5 82 e5 82 c9 81 40 82 c5 82 ea 82 bd 82 e7 82 c8 81 45 81 45 81 45 01 00 82 c8 82 f1 82 c4 81 45 81 45 81 45 81 6a 03 00	（ナルトくんと　いっしょに　でれたらな・・・{CTRL_0001}なんて・・・）	（能和鸣人一起演……{CTRL_0001}之类的……）            	CTRL_0001	translated_aligned	ok	yes			62	4	「ナ？」	「ううん・・・　わたし　あんまり　えいがみないから{CTRL_0001}よくわかんない・・・かな」
zh_txt_ca0cdd4a_00013E_0005	txt_ca0cdd4a_00013E_0005	message	msg/eiga/048.m	0x13E	5	81 75 82 a4 82 a4 82 f1 81 45 81 45 81 45 81 40 82 ed 82 bd 82 b5 81 40 82 a0 82 f1 82 dc 82 e8 81 40 82 a6 82 a2 82 aa 82 dd 82 c8 82 a2 82 a9 82 e7 01 00 82 e6 82 ad 82 ed 82 a9 82 f1 82 c8 82 a2 81 45 81 45 81 45 82 a9 82 c8 81 76 03 00	「ううん・・・　わたし　あんまり　えいがみないから{CTRL_0001}よくわかんない・・・かな」	「不……我不太看电影，{CTRL_0001}所以不太清楚……吧」               	CTRL_0001	translated_aligned	ok	yes			80	5	（ナルトくんと　いっしょに　でれたらな・・・{CTRL_0001}なんて・・・）	「そうなの？」
zh_txt_ca0cdd4a_0001A2_0006	txt_ca0cdd4a_0001A2_0006	message	msg/eiga/048.m	0x1A2	6	81 75 82 bb 82 a4 82 c8 82 cc 81 48 81 76 03 00	「そうなの？」	「是吗？」 		translated_aligned	tight	yes			16	6	「ううん・・・　わたし　あんまり　えいがみないから{CTRL_0001}よくわかんない・・・かな」	「わたしはねー　はくばに　のった　おうじさまに{CTRL_0001}たすけられる　ヒロインが　いいわー」
zh_txt_ca0cdd4a_0001B4_0007	txt_ca0cdd4a_0001B4_0007	message	msg/eiga/048.m	0x1B4	7	81 75 82 ed 82 bd 82 b5 82 cd 82 cb 81 5b 81 40 82 cd 82 ad 82 ce 82 c9 81 40 82 cc 82 c1 82 bd 81 40 82 a8 82 a4 82 b6 82 b3 82 dc 82 c9 01 00 82 bd 82 b7 82 af 82 e7 82 ea 82 e9 81 40 83 71 83 8d 83 43 83 93 82 aa 81 40 82 a2 82 a2 82 ed 81 5b 81 76 03 00	「わたしはねー　はくばに　のった　おうじさまに{CTRL_0001}たすけられる　ヒロインが　いいわー」	「我嘛，想当被骑白马的王子{CTRL_0001}救下的女主角」                        	CTRL_0001	translated_aligned	ok	yes			86	7	「そうなの？」	「とらわれの　おひめさま・・・・・・{CTRL_0001}なんてのも　いいわね」
zh_txt_ca0cdd4a_00021E_0008	txt_ca0cdd4a_00021E_0008	message	msg/eiga/048.m	0x21E	8	81 75 82 c6 82 e7 82 ed 82 ea 82 cc 81 40 82 a8 82 d0 82 df 82 b3 82 dc 81 45 81 45 81 45 81 45 81 45 81 45 01 00 82 c8 82 f1 82 c4 82 cc 82 e0 81 40 82 a2 82 a2 82 ed 82 cb 81 76 03 00	「とらわれの　おひめさま・・・・・・{CTRL_0001}なんてのも　いいわね」	「被囚禁的公主……{CTRL_0001}这种也不错呢」            	CTRL_0001	translated_aligned	ok	yes			62	8	「わたしはねー　はくばに　のった　おうじさまに{CTRL_0001}たすけられる　ヒロインが　いいわー」	「わたしは・・・　そうね・・・」
zh_txt_ca0cdd4a_000270_0009	txt_ca0cdd4a_000270_0009	message	msg/eiga/048.m	0x270	9	81 75 82 ed 82 bd 82 b5 82 cd 81 45 81 45 81 45 81 40 82 bb 82 a4 82 cb 81 45 81 45 81 45 81 76 03 00	「わたしは・・・　そうね・・・」	「我……嗯……」          		translated_aligned	ok	yes			34	9	「とらわれの　おひめさま・・・・・・{CTRL_0001}なんてのも　いいわね」	「わるものを　やっつける{CTRL_0001}アクションスターみたいな　ヒロインが　いいわ」
